iter	RMSE
0	335.8335683
1	334.7757696
2	333.044013
3	330.929733
4	329.0283564
5	327.3986183
6	324.7868348
7	323.0020779
8	321.3522665
9	319.2567071
10	317.1231577
11	314.7155946
12	313.7286973
13	312.1588449
14	310.084225
15	308.3545375
16	306.9737681
17	305.6059768
18	304.2070183
19	302.3093103
20	300.5093311
21	298.94187
22	297.6434156
23	296.1901336
24	295.7671415
25	293.9156942
26	292.8515802
27	291.2052862
28	289.8202192
29	288.3321973
30	287.2859476
31	286.811779
32	285.2600306
33	284.2019597
34	282.4620119
35	281.2128364
36	280.3385543
37	279.4112388
38	278.4784083
39	277.4479186
40	276.2288908
41	274.7121332
42	273.0861964
43	272.1926139
44	271.5345035
45	270.0824901
46	268.7354385
47	267.622281
48	266.4901273
49	265.2173164
50	264.211398
51	263.6058211
52	262.1596644
53	260.7489611
54	259.8958174
55	259.1838356
56	258.3484155
57	257.0950886
58	256.1352861
59	254.608228
60	253.9256739
61	253.0325186
62	252.0731916
63	250.4395812
64	249.9120505
65	248.9261799
66	247.4511968
67	246.8065903
68	246.4782281
69	245.9716621
70	244.6758221
71	243.5669691
72	243.0652735
73	242.1415865
74	241.368782
75	240.6058884
76	239.4388456
77	238.5138761
78	237.8784619
79	237.1990321
80	236.6211082
81	236.3184866
82	235.454503
83	234.81262
84	234.249692
85	233.4742791
86	233.0771996
87	232.6442966
88	231.3308873
89	230.7584598
90	230.3258344
91	229.4092893
92	228.7005442
93	228.0872258
94	227.0115065
95	226.2485632
96	225.6760747
97	225.0823648
98	224.3855745
99	223.9020006
100	223.2154449
101	222.386736
102	221.4417927
103	220.6662935
104	219.7440272
105	219.2759655
106	218.6239445
107	217.8888372
108	217.1145484
109	216.5320941
110	216.0972889
111	215.3041787
112	214.7906014
113	214.0647912
114	213.3437577
115	213.0880497
116	212.6212267
117	212.0507114
118	211.3209681
119	210.6013969
120	210.0173162
121	209.5715875
122	208.6876869
123	208.1291196
124	207.5725178
125	207.1803636
126	206.6935078
127	206.368557
128	205.8638304
129	205.5833526
130	204.851947
131	204.1662744
132	203.5391232
133	203.076969
134	202.5369691
135	201.8091962
136	201.2698304
137	200.3060763
138	199.7795952
139	199.1668637
140	198.2470456
141	198.0457186
142	197.6444143
143	197.3431315
144	196.7031634
145	196.1965207
146	195.4906483
147	194.9170289
148	194.3591476
149	194.1812853
150	193.7323139
151	193.1263119
152	192.523937
153	192.0929249
154	191.4905016
155	190.9483221
156	190.0188532
157	189.2366418
158	188.5353963
159	187.7715313
160	187.3002818
161	186.7552879
162	186.3202034
163	185.8669647
164	185.5057698
165	185.2670648
166	185.0634797
167	184.3675419
168	183.8175749
169	183.233463
170	182.9147305
171	182.4940299
172	181.9645212
173	181.5095109
174	181.1758336
175	180.6842509
176	180.0319658
177	179.2676599
178	178.4624074
179	177.9865223
180	177.4325753
181	176.9012875
182	176.3972899
183	175.6735898
184	175.0470211
185	174.634165
186	174.0412577
187	173.5743667
188	172.9681996
189	172.0916736
190	171.4055472
191	170.6803318
192	170.0064253
193	169.3607232
194	168.9744057
195	168.4549658
196	167.9708662
197	167.4351627
198	166.9254512
199	166.4498451
200	165.9522111
201	165.4411788
202	164.8101304
203	164.1424371
204	163.6876601
205	163.1845064
206	162.6214763
207	162.0003241
208	161.4822779
209	160.9584849
210	160.5233812
211	160.2066514
212	159.6663476
213	159.15938
214	158.6377488
215	158.174629
216	157.702816
217	157.2472044
218	156.8286471
219	156.3108655
220	155.9071791
221	155.5499818
222	155.1446015
223	154.6861008
224	154.2280293
225	153.8415065
226	153.2118437
227	152.7724397
228	152.158079
229	151.5560078
230	151.0828673
231	150.6481004
232	150.1700896
233	149.7794119
234	149.3660515
235	148.9353268
236	148.5242994
237	148.0604406
238	147.6778243
239	146.9801217
240	146.6310376
241	146.2368561
242	145.7760356
243	145.3720879
244	144.9879764
245	144.6077835
246	144.1284332
247	143.7043632
248	143.2807501
249	142.7682975
250	142.3161526
251	141.8847298
252	141.4401083
253	141.0743318
254	140.7213904
255	140.3139954
256	139.9306569
257	139.5996084
258	139.2138548
259	138.8076207
260	138.4615124
261	138.1200006
262	137.6890283
263	137.3535853
264	137.0234501
265	136.6543174
266	136.2889569
267	135.7672039
268	135.405128
269	135.0614624
270	134.43988
271	134.0996924
272	133.7221793
273	133.4148256
274	133.0725948
275	132.7408642
276	132.3852711
277	132.0258041
278	131.7043969
279	131.4205593
280	131.1302199
281	130.5078466
282	130.2039192
283	129.7803992
284	129.4670311
285	129.1901672
286	128.8783726
287	128.5715671
288	128.013625
289	127.7098954
290	127.4128663
291	126.8754032
292	126.4659468
293	126.1880035
294	125.6677714
295	125.4057367
296	125.0118516
297	124.642826
298	124.1407368
299	123.6136576
300	123.365515
301	122.8537222
302	122.6009438
303	122.3715456
